"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 18 21:00:51 UTC 2026","Mon May 18 21:00:51 UTC 2026","84","","TC-068:(БАГ) Создание post с невалидным JSON Payload","","org.izuum.jsonPlaceholder.apiTests.createResources.CreatePostWithInvalidJsonPayloadTest","checkThatClientAndServerHandlesErrorCorrectly","TC-068:(БАГ) Клиент/сервер корректно обрабатывает ошибку [3] ""{ \""title\"": test }""",""
"passed","Mon May 18 21:00:43 UTC 2026","Mon May 18 21:00:43 UTC 2026","176","","Сравнение nested route с фильтрациями","","org.izuum.jsonPlaceholder.apiTests.nestedRoutesTests.CompareNestedRouteAndFilteringTest","checkThatSetsOfIdOfPostsAreEquals","TC-046: Фильтрация для posts. Наборы id идентичны",""
"passed","Mon May 18 21:00:55 UTC 2026","Mon May 18 21:00:55 UTC 2026","188","","TC-060: Запрос несуществующего эндпоинта","","org.izuum.jsonPlaceholder.apiTests.negativeReadTests.GetNotExistsEndpointTest","checkExpectedNotFound","TC-060: Статус-код ожидается 404",""
"passed","Mon May 18 21:00:59 UTC 2026","Mon May 18 21:00:59 UTC 2026","146","","TC-030: Фильтрация todos по completed = true","","org.izuum.jsonPlaceholder.apiTests.filterQueryParamTests.FilteringToDosByCompletedTrueTest","getRequestCheckStatusCode","TC-030: Статус-код 200",""
"passed","Mon May 18 21:00:54 UTC 2026","Mon May 18 21:00:55 UTC 2026","294","","TC-065: Создать post с дополнительными неописанными полями","","org.izuum.jsonPlaceholder.apiTests.createResources.CreatePostWithAdditionalFieldsTest","checkStableResponse","TC-065: Стабильный ответ сервера",""
"passed","Mon May 18 21:01:00 UTC 2026","Mon May 18 21:01:00 UTC 2026","75","","TC-033: Фильтрация posts по id","","org.izuum.jsonPlaceholder.apiTests.filterQueryParamTests.FilteringPostsByIdTest","checkLengthOfArrayInResponse","TC-033: Длина массива полученного в ответе = 1",""
"passed","Mon May 18 21:00:47 UTC 2026","Mon May 18 21:00:47 UTC 2026","84","","TC-006: Получение album по id","","org.izuum.jsonPlaceholder.apiTests.smokeTests.GetAlbumByIdTest","getRequestCheckIdOfObject","TC-006: id объекта равен 1",""
"passed","Mon May 18 21:00:59 UTC 2026","Mon May 18 21:00:59 UTC 2026","73","","TC-037: Неизвестный query-параметр вместе с валидным","","org.izuum.jsonPlaceholder.apiTests.filterQueryParamTests.UnknownQueryParamWithValidParamTest","checkThatServiceNotFall","TC-037: Сервис не падает",""
"passed","Mon May 18 21:00:41 UTC 2026","Mon May 18 21:00:41 UTC 2026","106","","Проверка типов полей на всех эндпоинтах","","org.izuum.jsonPlaceholder.apiTests.structureAndTypeTests.CheckTypeOfFieldsTest","checkTypeOfFieldsOfPost","TC-013: Проверка типов полей post",""
"passed","Mon May 18 21:00:42 UTC 2026","Mon May 18 21:00:42 UTC 2026","109","","Проверка структуры объектов на каждом эндпоинте","","org.izuum.jsonPlaceholder.apiTests.structureAndTypeTests.CheckStructureOfObjectsTest","checkStructureOfAddress","TC-019: Проверка структуры address у объекта user",""
